ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
4,Chile,  ,2022,Out,28,,,,0,0,8,0.00,19212,0,0
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,28,,,,,,-,,26,,
5,Dominican Republic,DEN 2,2022,Out,28,,3.767660911,0.471,,15,28,29.08,10954,120,3185
6,Martinique,  ,2022,Out,28,4.090909091,0,0.000,9,0,27,58.67,375,0,220
6,Turks and Caicos Islands,  ,2022,Out,28,,,,0,0,28,0.00,57,0,0
6,Jamaica,  ,2022,Out,28,0,0,0.000,0,0,28,1.24,2973,0,37
6,Aruba,  ,2022,Out,28,33.333333333,0,0.000,2,0,28,4.96,121,0,6
4,Paraguay,"DEN 1,2",2022,Out,28,4.430051813,0.362694301,0.000,171,0,28,53.46,7220,14,3860
6,Saint Kitts and Nevis,  ,2022,Out,28,0,0,0.000,0,0,28,1.85,54,0,1
6,Guadeloupe,  ,2022,Out,28,0,0,0.000,0,0,27,60.00,400,0,240
6,Saint Martin,  ,2022,Out,28,0,0,0.000,0,0,27,75.76,33,0,25
6,Virgin Islands (US),  ,2022,Out,28,,,,0,0,28,0.00,106,0,0
2,Belize,  ,2022,Out,28,,,,0,0,16,0.00,405,0,0
3,Colombia,"DEN 1,2,3,4",2022,Out,28,56.641382960,1.852178515,0.059,19266,20,28,66.35,51266,630,34014
6,Suriname,  ,2022,Out,28,100,0,0.000,2,0,22,0.34,592,0,2
6,Bermuda,  ,2022,Out,28,,,,0,0,28,0.00,72,0,0
5,Puerto Rico,"DEN 1,2",2022,Out,28,81.395348837,4.069767442,0.000,140,0,28,6.08,2828,7,172
4,Argentina,"DEN 1,2",2022,Out,28,100,0,0.000,732,0,21,1.61,45606,0,732
6,Non-Latin Caribbean,  ,2022,In,28,7.306255836,0.046685341,0.000,313,0,-,20.97,20433,2,4284
1,North America,  ,2022,In,28,100,0,0.000,111,0,-,0.03,332915,0,111
7,The Americas,  ,2022,In,28,53.020830708,0.124439028,0.046,1157230,1006,-,219.85,992752,2716,2182595
6,Anguilla,  ,2022,Out,28,,,,,,-,,18,,
6,French Guiana,  ,2022,Out,28,,,,,,-,,306,,
3,Andean Subregion,  ,2022,In,28,67.956927955,0.823855286,0.089,76300,100,-,78.49,143051,925,112277
2,Central America Ithsmus and Mexico,  ,2022,In,28,8.861755022,0.477212440,0.023,6648,17,-,41.28,181738,358,75019
2,Guatemala,"DEN 1,2,3,4",2022,Out,28,28.249224697,0.479278263,0.197,1002,7,28,19.44,18250,17,3547
3,Venezuela,"DEN 1,2,4",2022,Out,28,,,,,,28,10.16,28705,,2916
6,Curaçao,  ,2022,Out,28,,,,,,-,,152,,
3,Ecuador,  ,2022,Out,28,100,0.698916287,0.079,12734,10,28,71.19,17888,89,12734
1,Canada,  ,2022,Out,28,,,,0,0,28,,0,0,0
2,Costa Rica,"DEN 1,2",2022,Out,28,5.046343975,0.068657741,0.000,147,0,28,56.68,5139,2,2913
6,Virgin Islands (UK),  ,2022,Out,28,100,18.181818182,,11,,20,28.95,38,2,11
6,Haiti,  ,2022,Out,28,0.060313631,0,0.000,2,0,26,28.73,11542,0,3316
6,Trinidad and Tobago,  ,2022,Out,28,6.25,0,,1,,20,1.14,1403,0,16
6,Cayman Islands,  ,2022,Out,28,0,0,,0,,28,3.17,63,0,2
2,Mexico,"DEN 1,2,3,4",2022,Out,28,14.205104652,0.531461190,0.033,2165,5,28,11.70,130262,81,15241
6,Montserrat,  ,2022,Out,28,0,0,,0,,20,60.00,5,0,3
2,Panama,"DEN 1,2",2022,Out,28,80.191216014,0.239020018,0.030,2684,1,28,76.10,4398,8,3347
5,Latin Caribbean,  ,2022,In,28,49.679336775,2.268105741,0.250,3176,16,-,25.47,25099,145,6393
6,Guyana,  ,2022,Out,28,100,0,0.000,157,0,16,19.87,790,0,157
1,United States of America,  ,2022,Out,28,100,0,0.000,111,0,28,0.03,332915,0,111
4,Uruguay,  ,2022,Out,28,24.137931034,0,0.000,7,0,20,0.83,3485,0,29
6,Saint Lucia,  ,2022,Out,28,100,0,0.000,10,0,28,5.99,167,0,10
3,Peru,"DEN 1,2",2022,Out,28,77.109943336,0.325397864,0.122,41233,65,28,160.30,33359,174,53473
6,Saint Barthelemy,  ,2022,Out,28,1.149425287,0,0.000,1,0,27,"1,242.86",7,0,87
2,Nicaragua,"DEN 1,2,3,4",2022,Out,28,2.097433990,0.022313128,0.000,564,0,28,401.22,6702,6,26890
6,Saint Vincent and the Grenadines,  ,2022,Out,28,100,0,,12,,28,11.88,101,0,12
6,Antigua and Barbuda,  ,2022,Out,28,0,0,0.000,0,0,28,4.04,99,0,4
3,Bolivia,"DEN 1,2",2022,Out,28,33.555798687,0.350109409,0.055,3067,5,28,77.24,11833,32,9140
4,Southern Cone,  ,2022,In,28,53.951930728,0.064801858,0.044,1070682,873,-,685.46,289516,1286,1984511
6,Bahamas,  ,2022,Out,28,,,,,,-,,397,,
2,Honduras,"DEN 1,2,4",2022,Out,28,,1.923709306,0.033,,4,28,120.88,10063,234,12164
6,Sint Maarten,  ,2022,Out,28,,,,,,-,,45,,
5,Cuba,"DEN 1,2,3,4",2022,Out,28,100,0.592885375,0.033,3036,1,26,26.83,11317,18,3036
6,Dominica,  ,2022,Out,28,12.5,0,0.000,2,0,28,21.33,75,0,16
4,Brazil,"DEN 1,2,4",2022,Out,28,54.031890661,0.064245993,0.044,1069772,873,28,925.21,213993,1272,1979890
6,Grenada,  ,2022,Out,28,100,0,,104,,28,91.23,114,0,104
6,Barbados,  ,2022,Out,28,0,,0.000,0,0,21,4.97,302,,15
2,El Salvador,"DEN 1,2,3,4",2022,Out,28,0.787762206,0.091600256,0.000,86,0,28,167.46,6519,10,10917
