ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
6,Guadeloupe,  ,2022,Out,24,,,,,,-,,400,,
4,Chile,  ,2022,Out,24,,,,0,0,8,0.00,19212,0,0
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,24,,,,,,-,,26,,
6,Jamaica,  ,2022,Out,24,0,0,0.000,0,0,24,1.04,2973,0,31
6,Aruba,  ,2022,Out,24,33.333333333,0,0.000,2,0,24,4.96,121,0,6
6,Sint Maarten,  ,2022,Out,24,,,,,,-,,45,,
6,Martinique,  ,2022,Out,24,,,,,,-,,375,,
4,Paraguay,"DEN 1,2",2022,Out,24,3.948522960,0.380228137,0.000,135,0,24,47.35,7220,13,3419
6,Saint Kitts and Nevis,  ,2022,Out,24,0,0,0.000,0,0,24,1.85,54,0,1
6,Saint Martin,  ,2022,Out,24,,,,,,-,,33,,
6,Turks and Caicos Islands,  ,2022,Out,24,,,,0,0,24,0.00,57,0,0
2,Belize,  ,2022,Out,24,,,,0,0,16,0.00,405,0,0
5,Puerto Rico,"DEN 1,2",2022,Out,24,80.128205128,3.205128205,0.000,125,0,23,5.52,2828,5,156
6,Suriname,  ,2022,Out,24,100,0,0.000,2,0,22,0.34,592,0,2
5,Dominican Republic,DEN 2,2022,Out,24,,4.325699746,0.509,,12,24,21.53,10954,102,2358
3,Colombia,"DEN 1,2,3,4",2022,Out,24,55.375463095,1.902251354,0.068,15545,19,24,54.76,51266,534,28072
4,Argentina,"DEN 1,2",2022,Out,24,100,0,0.000,732,0,21,1.61,45606,0,732
6,Bermuda,  ,2022,Out,24,,,,0,0,24,0.00,72,0,0
3,Venezuela,"DEN 1,2,4",2022,Out,24,,,,,,24,7.70,28705,,2209
1,North America,  ,2022,In,24,100,0,0.000,81,0,-,0.02,332915,0,81
6,Non-Latin Caribbean,  ,2022,In,24,15.233545648,0.106157113,0.000,287,0,-,9.22,20433,2,1884
7,The Americas,  ,2022,In,24,54.723576198,0.119266675,0.049,1092942,972,-,201.18,992752,2382,1997205
6,Anguilla,  ,2022,Out,24,,,,,,-,,18,,
6,French Guiana,  ,2022,Out,24,,,,,,-,,306,,
3,Andean Subregion,  ,2022,In,24,69.139453975,0.801090847,0.096,68959,96,-,69.72,143051,799,99739
2,Central America Ithsmus and Mexico,  ,2022,In,24,7.450414848,0.468226172,0.030,3978,16,-,29.38,181738,250,53393
6,Curaçao,  ,2022,Out,24,,,,,,-,,152,,
2,Guatemala,"DEN 1,2,3,4",2022,Out,24,28.720836685,0.603378922,0.241,714,6,24,13.62,18250,15,2486
6,Virgin Islands (UK),  ,2022,Out,24,100,18.181818182,,11,,20,28.95,38,2,11
3,Ecuador,  ,2022,Out,24,100,0.660851176,0.070,11349,8,24,63.44,17888,75,11349
2,Costa Rica,"DEN 1,2",2022,Out,24,5.263157895,0.095693780,0.000,110,0,24,40.67,5139,2,2090
2,Mexico,"DEN 1,2,3,4",2022,Out,24,13.501316284,0.573523881,0.047,1436,5,24,8.17,130262,61,10636
2,Panama,"DEN 1,2",2022,Out,24,79.542857143,0.285714286,0.057,1392,1,24,39.79,4398,5,1750
6,Trinidad and Tobago,  ,2022,Out,24,6.25,0,,1,,20,1.14,1403,0,16
1,Canada,  ,2022,Out,24,,,,0,0,24,,0,0,0
6,Cayman Islands,  ,2022,Out,24,0,0,,0,,24,3.17,63,0,2
6,Haiti,  ,2022,Out,24,0.066269052,0,0.000,1,0,13,13.07,11542,0,1509
6,Montserrat,  ,2022,Out,24,0,0,,0,,20,60.00,5,0,3
5,Latin Caribbean,  ,2022,In,24,4.217273954,3.609986505,0.405,125,12,-,11.81,25099,107,2964
6,Saint Barthelemy,  ,2022,Out,24,,,,,,-,,7,,
3,Bolivia,"DEN 1,2",2022,Out,24,35.404173663,0.311825378,0.060,2952,5,24,70.46,11833,26,8338
6,Guyana,  ,2022,Out,24,100,0,0.000,157,0,16,19.87,790,0,157
4,Uruguay,  ,2022,Out,24,24.137931034,0,0.000,7,0,20,0.83,3485,0,29
2,Nicaragua,"DEN 1,2,3,4",2022,Out,24,1.257148745,0.020608996,0.000,244,0,24,289.60,6702,4,19409
6,Saint Lucia,  ,2022,Out,24,100,0,0.000,4,0,24,2.40,167,0,4
1,United States of America,  ,2022,Out,24,100,0,0.000,81,0,24,0.02,332915,0,81
6,Saint Vincent and the Grenadines,  ,2022,Out,24,100,0,,12,,24,11.88,101,0,12
6,Antigua and Barbuda,  ,2022,Out,24,0,0,0.000,0,0,24,4.04,99,0,4
3,Peru,"DEN 1,2",2022,Out,24,78.585923530,0.329509152,0.129,39113,64,24,149.20,33359,164,49771
4,Southern Cone,  ,2022,In,24,55.434049754,0.066552701,0.046,1019512,848,-,635.25,289516,1224,1839144
6,Bahamas,  ,2022,Out,24,,,,,,-,,397,,
4,Brazil,"DEN 1,2,4",2022,Out,24,55.512696707,0.065995845,0.046,1018638,848,24,857.49,213993,1211,1834964
2,El Salvador,"DEN 1,2,3,4",2022,Out,24,0.937357110,0.091449474,0.000,82,0,24,134.19,6519,8,8748
2,Honduras,"DEN 1,2,4",2022,Out,24,,1.873338168,0.048,,4,24,82.22,10063,155,8274
6,Virgin Islands (US),  ,2022,Out,24,,,,0,0,24,0.00,106,0,0
5,Cuba,"DEN 1,2",2022,Out,24,,0,0.000,,0,20,3.98,11317,0,450
6,Dominica,  ,2022,Out,24,12.5,0,0.000,2,0,24,21.33,75,0,16
6,Grenada,  ,2022,Out,24,100,0,,95,,16,83.33,114,0,95
6,Barbados,  ,2022,Out,24,0,,0.000,0,0,21,4.97,302,,15
