ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
3,Bolivia,"DEN 1,2",2022,Out,29,33.022308022,0.343200343,0.054,3079,5,29,78.80,11833,32,9324
6,Guyana,  ,2022,Out,29,100,0,0.000,157,0,16,19.87,790,0,157
3,Peru,"DEN 1,2",2022,Out,29,77.040269201,0.321709869,0.122,41668,66,29,162.13,33359,174,54086
4,Uruguay,  ,2022,Out,29,24.137931034,0,0.000,7,0,20,0.83,3485,0,29
2,Nicaragua,"DEN 1,2,3,4",2022,Out,29,2.472898556,0.020780660,0.000,714,0,29,430.81,6702,6,28873
4,Chile,  ,2022,Out,29,,,,0,0,8,0.00,19212,0,0
4,Paraguay,"DEN 1,2",2022,Out,29,13.730158730,1.111111111,0.000,173,0,29,17.45,7220,14,1260
6,Saint Kitts and Nevis,  ,2022,Out,29,0,0,0.000,0,0,29,1.85,54,0,1
6,Saint Martin,  ,2022,Out,29,0,0,0.000,0,0,27,75.76,33,0,25
6,Saint Barthelemy,  ,2022,Out,29,1.149425287,0,0.000,1,0,27,"1,242.86",7,0,87
1,United States of America,  ,2022,Out,29,100,0,0.000,155,0,29,0.05,332915,0,155
6,Aruba,  ,2022,Out,29,33.333333333,0,0.000,2,0,29,4.96,121,0,6
6,Sint Maarten,  ,2022,Out,29,,,,,,-,,45,,
6,Saint Vincent and the Grenadines,  ,2022,Out,29,100,0,,12,,29,11.88,101,0,12
6,Antigua and Barbuda,  ,2022,Out,29,0,0,0.000,0,0,29,4.04,99,0,4
2,Belize,  ,2022,Out,29,,,,0,0,16,0.00,405,0,0
4,Southern Cone,  ,2022,In,29,54.342277966,0.065254879,0.045,1095092,902,-,696.05,289516,1315,2015175
6,Bahamas,  ,2022,Out,29,,,,,,-,,397,,
4,Brazil,"DEN 1,2,4",2022,Out,29,54.351529987,0.064624962,0.045,1094180,902,29,940.76,213993,1301,2013154
6,Grenada,  ,2022,Out,29,66.666666667,1.923076923,0.000,104,0,29,136.84,114,3,156
2,El Salvador,"DEN 1,2,3,4",2022,Out,29,0.760688992,0.087435516,0.000,87,0,29,175.44,6519,10,11437
6,Barbados,  ,2022,Out,29,0,,0.000,0,0,21,4.97,302,,15
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,29,,,,,,-,,26,,
6,Jamaica,  ,2022,Out,29,0,0,0.000,0,0,29,1.35,2973,0,40
6,Martinique,  ,2022,Out,29,4.090909091,0,0.000,9,0,27,58.67,375,0,220
6,Turks and Caicos Islands,  ,2022,Out,29,,,,0,0,29,0.00,57,0,0
6,Guadeloupe,  ,2022,Out,29,0,0,0.000,0,0,27,60.00,400,0,240
5,Latin Caribbean,  ,2022,In,29,48.276909063,2.292394110,0.243,3180,16,-,26.24,25099,151,6587
6,Suriname,  ,2022,Out,29,100,0,0.000,2,0,22,0.34,592,0,2
5,Dominican Republic,DEN 2,2022,Out,29,,3.733333333,0.444,,15,29,30.81,10954,126,3375
4,Argentina,"DEN 1,2",2022,Out,29,100,0,0.000,732,0,21,1.61,45606,0,732
6,Bermuda,  ,2022,Out,29,,,,0,0,29,0.00,72,0,0
3,Colombia,"DEN 1,2,3,4",2022,Out,29,56.739873382,1.862849459,0.059,20255,21,29,69.63,51266,665,35698
5,Puerto Rico,"DEN 1,2",2022,Out,29,81.818181818,3.977272727,0.000,144,0,29,6.22,2828,7,176
3,Venezuela,"DEN 1,2,4",2022,Out,29,,,,,,29,10.78,28705,,3095
6,Non-Latin Caribbean,  ,2022,In,29,7.213643697,0.115233925,0.000,313,0,-,21.24,20433,5,4339
1,North America,  ,2022,In,29,100,0,0.000,155,0,-,0.05,332915,0,155
7,The Americas,  ,2022,In,29,53.294912676,0.125973550,0.046,1184157,1026,-,223.81,992752,2799,2221895
3,Andean Subregion,  ,2022,In,29,67.710268206,0.833261002,0.080,78009,92,-,80.54,143051,960,115210
6,Anguilla,  ,2022,Out,29,,,,,,-,,18,,
6,French Guiana,  ,2022,Out,29,,,,,,-,,306,,
2,Central America Ithsmus and Mexico,  ,2022,In,29,9.210608114,0.457546407,0.020,7408,16,-,44.26,181738,368,80429
6,Curaçao,  ,2022,Out,29,,,,,,-,,152,,
6,Cayman Islands,  ,2022,Out,29,0,0,,0,,29,3.17,63,0,2
2,Guatemala,"DEN 1,2,3,4",2022,Out,29,28.115100317,0.448785639,0.185,1065,7,29,20.76,18250,17,3788
2,Costa Rica,"DEN 1,2",2022,Out,29,5.077619664,0,0.000,157,0,29,60.17,5139,0,3092
6,Haiti,  ,2022,Out,29,0.060313631,0,0.000,2,0,26,28.73,11542,0,3316
2,Mexico,"DEN 1,2,3,4",2022,Out,29,14.139745472,0.513950073,0.049,2311,8,29,12.55,130262,84,16344
2,Panama,"DEN 1,2",2022,Out,29,80.408056500,0.235417212,0.026,3074,1,29,86.93,4398,9,3823
6,Trinidad and Tobago,  ,2022,Out,29,6.25,0,,1,,20,1.14,1403,0,16
6,Virgin Islands (UK),  ,2022,Out,29,100,18.181818182,,11,,20,28.95,38,2,11
3,Ecuador,  ,2022,Out,29,100,0.684246944,,13007,,29,72.71,17888,89,13007
6,Virgin Islands (US),  ,2022,Out,29,,,,0,0,29,0.00,106,0,0
6,Saint Lucia,  ,2022,Out,29,100,0,0.000,10,0,29,5.99,167,0,10
5,Cuba,"DEN 1,2,3,4",2022,Out,29,100,0.592885375,0.033,3036,1,26,26.83,11317,18,3036
6,Dominica,  ,2022,Out,29,12.5,0,0.000,2,0,29,21.33,75,0,16
1,Canada,  ,2022,Out,29,,,,0,0,29,,0,0,0
6,Montserrat,  ,2022,Out,29,0,0,,0,,20,60.00,5,0,3
2,Honduras,"DEN 1,2,4",2022,Out,29,,1.851285190,,,,29,129.90,10063,242,13072
